QUERY

SELECT *
FROM `travel-sample` r
LEFT JOIN `travel-sample` a
ON r.airlineid = META(a).id
WHERE r.sourceairport = "SFO"

RESULT

a.callsign	a.country	a.iata	a.icao	a.id	a.name	a.type	r.airline	r.airlineid	r.destinationairport	r.distance	r.equipment	r.id	r.schedule	r.sourceairport	r.stops	r.type
							"AS"	"airline_439"	"JFK"	4151.77720839701	"763 321"	11980	[{"day":0,"flight":"AS864","utc":"20:26:00"},{"day":0,"flight":"AS617","utc":"18:30:00"},{"day":0,"flight":"AS735","utc":"01:12:00"},{"day":0,"flight":"AS670","utc":"05:16:00"},{"day":0,"flight":"AS050","utc":"10:04:00"},{"day":1,"flight":"AS107","utc":"23:12:00"},{"day":1,"flight":"AS534","utc":"01:23:00"},{"day":1,"flight":"AS664","utc":"01:47:00"},{"day":1,"flight":"AS229","utc":"19:02:00"},{"day":1,"flight":"AS457","utc":"00:50:00"},{"day":2,"flight":"AS078","utc":"19:25:00"},{"day":3,"flight":"AS032","utc":"20:35:00"},{"day":4,"flight":"AS278","utc":"12:15:00"},{"day":4,"flight":"AS502","utc":"05:02:00"},{"day":4,"flight":"AS224","utc":"08:34:00"},{"day":4,"flight":"AS359","utc":"19:58:00"},{"day":5,"flight":"AS193","utc":"23:44:00"},{"day":5,"flight":"AS589","utc":"20:34:00"},{"day":5,"flight":"AS373","utc":"08:33:00"},{"day":6,"flight":"AS386","utc":"03:06:00"},{"day":6,"flight":"AS177","utc":"08:58:00"},{"day":6,"flight":"AS926","utc":"23:49:00"},{"day":6,"flight":"AS977","utc":"08:53:00"}]	"SFO"	0	"route"
							"AS"	"airline_439"	"LAX"	543.1728350169337	"738"	11981	[{"day":0,"flight":"AS171","utc":"13:35:00"},{"day":0,"flight":"AS683","utc":"11:30:00"},{"day":0,"flight":"AS959","utc":"05:04:00"},{"day":1,"flight":"AS260","utc":"14:00:00"},{"day":1,"flight":"AS033","utc":"02:42:00"},{"day":1,"flight":"AS193","utc":"14:25:00"},{"day":1,"flight":"AS246","utc":"23:47:00"},{"day":2,"flight":"AS851","utc":"17:05:00"},{"day":2,"flight":"AS754","utc":"00:12:00"},{"day":2,"flight":"AS333","utc":"18:59:00"},{"day":3,"flight":"AS504","utc":"22:49:00"},{"day":3,"flight":"AS242","utc":"05:58:00"},{"day":3,"flight":"AS079","utc":"06:29:00"},{"day":4,"flight":"AS887","utc":"11:42:00"},{"day":4,"flight":"AS404","utc":"12:01:00"},{"day":4,"flight":"AS533","utc":"18:53:00"},{"day":4,"flight":"AS016","utc":"09:17:00"},{"day":5,"flight":"AS495","utc":"14:50:00"},{"day":6,"flight":"AS468","utc":"03:20:00"},{"day":6,"flight":"AS173","utc":"09:05:00"}]	"SFO"	0	"route"
							"AS"	"airline_439"	"MIA"	4153.694730459581	"757 763 738"	11982	[{"day":0,"flight":"AS314","utc":"13:31:00"},{"day":0,"flight":"AS104","utc":"16:23:00"},{"day":0,"flight":"AS962","utc":"01:57:00"},{"day":0,"flight":"AS863","utc":"04:23:00"},{"day":0,"flight":"AS949","utc":"11:33:00"},{"day":1,"flight":"AS901","utc":"05:45:00"},{"day":1,"flight":"AS426","utc":"07:07:00"},{"day":1,"flight":"AS448","utc":"03:15:00"},{"day":2,"flight":"AS309","utc":"00:36:00"},{"day":2,"flight":"AS863","utc":"14:49:00"},{"day":2,"flight":"AS043","utc":"18:31:00"},{"day":2,"flight":"AS622","utc":"11:31:00"},{"day":2,"flight":"AS980","utc":"04:43:00"},{"day":3,"flight":"AS491","utc":"17:18:00"},{"day":3,"flight":"AS283","utc":"11:37:00"},{"day":3,"flight":"AS693","utc":"02:21:00"},{"day":3,"flight":"AS652","utc":"18:32:00"},{"day":4,"flight":"AS792","utc":"06:47:00"},{"day":4,"flight":"AS732","utc":"08:39:00"},{"day":4,"flight":"AS042","utc":"10:32:00"},{"day":5,"flight":"AS646","utc":"07:42:00"},{"day":6,"flight":"AS009","utc":"19:36:00"},{"day":6,"flight":"AS840","utc":"09:08:00"},{"day":6,"flight":"AS423","utc":"13:50:00"},{"day":6,"flight":"AS650","utc":"09:41:00"}]	"SFO"	0	"route"
							"AS"	"airline_439"	"ORD"	2963.951598509011	"738"	11983	[{"day":0,"flight":"AS155","utc":"20:48:00"},{"day":0,"flight":"AS874","utc":"15:55:00"},{"day":1,"flight":"AS393","utc":"23:28:00"},{"day":2,"flight":"AS903","utc":"16:16:00"},{"day":2,"flight":"AS237","utc":"13:45:00"},{"day":3,"flight":"AS201","utc":"18:41:00"},{"day":3,"flight":"AS748","utc":"15:17:00"},{"day":3,"flight":"AS175","utc":"08:03:00"},{"day":3,"flight":"AS062","utc":"14:41:00"},{"day":4,"flight":"AS561","utc":"11:03:00"},{"day":5,"flight":"AS765","utc":"10:55:00"},{"day":5,"flight":"AS608","utc":"10:36:00"},{"day":6,"flight":"AS095","utc":"16:30:00"},{"day":6,"flight":"AS006","utc":"13:22:00"}]	"SFO"	0	"route"
							"AS"	"airline_439"	"PDX"	886.3879904250963	"734 73H 73G"	11984	[{"day":0,"flight":"AS842","utc":"23:29:00"},{"day":0,"flight":"AS483","utc":"23:03:00"},{"day":0,"flight":"AS175","utc":"07:18:00"},{"day":1,"flight":"AS975","utc":"18:54:00"},{"day":1,"flight":"AS584","utc":"02:21:00"},{"day":1,"flight":"AS068","utc":"00:21:00"},{"day":1,"flight":"AS921","utc":"13:46:00"},{"day":2,"flight":"AS072","utc":"19:14:00"},{"day":3,"flight":"AS066","utc":"05:56:00"},{"day":3,"flight":"AS271","utc":"10:20:00"},{"day":4,"flight":"AS403","utc":"11:25:00"},{"day":4,"flight":"AS418","utc":"05:08:00"},{"day":4,"flight":"AS234","utc":"05:57:00"},{"day":4,"flight":"AS620","utc":"11:04:00"},{"day":4,"flight":"AS864","utc":"02:21:00"},{"day":5,"flight":"AS414","utc":"02:22:00"},{"day":6,"flight":"AS697","utc":"08:29:00"},{"day":6,"flight":"AS089","utc":"05:35:00"},{"day":6,"flight":"AS237","utc":"02:56:00"}]	"SFO"	0	"route"
							"AS"	"airline_439"	"PSP"	676.6167372102944	"734"	11985	[{"day":0,"flight":"AS593","utc":"12:20:00"},{"day":0,"flight":"AS433","utc":"14:14:00"},{"day":0,"flight":"AS275","utc":"05:03:00"},{"day":0,"flight":"AS397","utc":"19:18:00"},{"day":0,"flight":"AS550","utc":"12:26:00"},{"day":1,"flight":"AS412","utc":"01:16:00"},{"day":1,"flight":"AS422","utc":"00:41:00"},{"day":2,"flight":"AS599","utc":"14:14:00"},{"day":2,"flight":"AS168","utc":"04:03:00"},{"day":2,"flight":"AS947","utc":"13:22:00"},{"day":2,"flight":"AS202","utc":"11:25:00"},{"day":2,"flight":"AS727","utc":"13:20:00"},{"day":3,"flight":"AS119","utc":"16:54:00"},{"day":3,"flight":"AS390","utc":"14:55:00"},{"day":3,"flight":"AS569","utc":"00:25:00"},{"day":4,"flight":"AS539","utc":"06:12:00"},{"day":4,"flight":"AS111","utc":"15:01:00"},{"day":4,"flight":"AS204","utc":"13:31:00"},{"day":4,"flight":"AS178","utc":"08:45:00"},{"day":4,"flight":"AS144","utc":"10:57:00"},{"day":5,"flight":"AS084","utc":"04:48:00"},{"day":5,"flight":"AS310","utc":"23:26:00"},{"day":5,"flight":"AS217","utc":"05:57:00"},{"day":5,"flight":"AS767","utc":"01:36:00"},{"day":6,"flight":"AS803","utc":"02:46:00"},{"day":6,"flight":"AS755","utc":"13:44:00"}]	"SFO"	0	"route"
							"AS"	"airline_439"	"PVR"	2503.582728407229	"73J 739"	11986	[{"day":0,"flight":"AS193","utc":"14:44:00"},{"day":0,"flight":"AS415","utc":"18:26:00"},{"day":0,"flight":"AS733","utc":"20:51:00"},{"day":0,"flight":"AS392","utc":"04:30:00"},{"day":1,"flight":"AS658","utc":"07:34:00"},{"day":2,"flight":"AS685","utc":"08:13:00"},{"day":2,"flight":"AS984","utc":"09:47:00"},{"day":2,"flight":"AS610","utc":"14:00:00"},{"day":2,"flight":"AS778","utc":"21:39:00"},{"day":3,"flight":"AS182","utc":"05:27:00"},{"day":3,"flight":"AS231","utc":"04:54:00"},{"day":3,"flight":"AS380","utc":"11:49:00"},{"day":3,"flight":"AS824","utc":"09:02:00"},{"day":3,"flight":"AS482","utc":"02:01:00"},{"day":4,"flight":"AS539","utc":"00:21:00"},{"day":4,"flight":"AS241","utc":"03:44:00"},{"day":4,"flight":"AS370","utc":"09:03:00"},{"day":4,"flight":"AS960","utc":"09:43:00"},{"day":4,"flight":"AS365","utc":"09:08:00"},{"day":5,"flight":"AS654","utc":"20:36:00"},{"day":5,"flight":"AS572","utc":"16:28:00"},{"day":6,"flight":"AS796","utc":"07:44:00"},{"day":6,"flight":"AS793","utc":"15:34:00"},{"day":6,"flight":"AS808","utc":"23:02:00"}]	"SFO"	0	"route"
							"AS"	"airline_439"	"SEA"	1093.062336932592	"73H 734 73G 73J 739"	11987	[{"day":0,"flight":"AS344","utc":"08:42:00"},{"day":0,"flight":"AS557","utc":"07:20:00"},{"day":1,"flight":"AS890","utc":"23:22:00"},{"day":1,"flight":"AS322","utc":"02:49:00"},{"day":2,"flight":"AS689","utc":"09:58:00"},{"day":2,"flight":"AS410","utc":"05:31:00"},{"day":2,"flight":"AS947","utc":"20:07:00"},{"day":2,"flight":"AS784","utc":"13:24:00"},{"day":3,"flight":"AS495","utc":"15:21:00"},{"day":3,"flight":"AS171","utc":"21:19:00"},{"day":4,"flight":"AS057","utc":"05:56:00"},{"day":4,"flight":"AS302","utc":"21:42:00"},{"day":4,"flight":"AS835","utc":"12:39:00"},{"day":4,"flight":"AS077","utc":"04:39:00"},{"day":4,"flight":"AS457","utc":"02:30:00"},{"day":5,"flight":"AS662","utc":"02:26:00"},{"day":5,"flight":"AS117","utc":"22:35:00"},{"day":5,"flight":"AS431","utc":"09:51:00"},{"day":6,"flight":"AS085","utc":"08:09:00"},{"day":6,"flight":"AS966","utc":"13:41:00"},{"day":6,"flight":"AS403","utc":"02:03:00"},{"day":6,"flight":"AS312","utc":"16:53:00"}]	"SFO"	0	"route"
							"AS"	"airline_439"	"SJD"	2010.8629996970228	"734"	11988	[{"day":0,"flight":"AS322","utc":"21:58:00"},{"day":0,"flight":"AS030","utc":"06:31:00"},{"day":0,"flight":"AS298","utc":"22:31:00"},{"day":0,"flight":"AS508","utc":"01:17:00"},{"day":0,"flight":"AS718","utc":"05:01:00"},{"day":1,"flight":"AS441","utc":"21:27:00"},{"day":1,"flight":"AS805","utc":"15:49:00"},{"day":2,"flight":"AS545","utc":"22:25:00"},{"day":2,"flight":"AS045","utc":"13:48:00"},{"day":2,"flight":"AS445","utc":"00:54:00"},{"day":2,"flight":"AS724","utc":"19:53:00"},{"day":3,"flight":"AS752","utc":"22:38:00"},{"day":3,"flight":"AS758","utc":"06:07:00"},{"day":3,"flight":"AS582","utc":"05:26:00"},{"day":3,"flight":"AS279","utc":"06:37:00"},{"day":4,"flight":"AS798","utc":"09:19:00"},{"day":4,"flight":"AS775","utc":"09:37:00"},{"day":4,"flight":"AS934","utc":"02:03:00"},{"day":4,"flight":"AS582","utc":"10:01:00"},{"day":4,"flight":"AS418","utc":"12:17:00"},{"day":5,"flight":"AS574","utc":"16:46:00"},{"day":5,"flight":"AS165","utc":"13:50:00"},{"day":6,"flight":"AS941","utc":"05:33:00"},{"day":6,"flight":"AS767","utc":"11:17:00"}]	"SFO"	0	"route"
							"AV"	"airline_515"	"SAL"	4249.848869777824	"319 320"	12546	[{"day":0,"flight":"AV525","utc":"04:26:00"},{"day":1,"flight":"AV487","utc":"10:33:00"},{"day":1,"flight":"AV016","utc":"06:23:00"},{"day":1,"flight":"AV327","utc":"04:28:00"},{"day":1,"flight":"AV682","utc":"17:28:00"},{"day":1,"flight":"AV047","utc":"10:49:00"},{"day":2,"flight":"AV250","utc":"02:14:00"},{"day":2,"flight":"AV230","utc":"22:14:00"},{"day":3,"flight":"AV762","utc":"15:02:00"},{"day":3,"flight":"AV424","utc":"00:17:00"},{"day":4,"flight":"AV374","utc":"16:22:00"},{"day":4,"flight":"AV732","utc":"00:48:00"},{"day":4,"flight":"AV768","utc":"10:52:00"},{"day":4,"flight":"AV679","utc":"02:52:00"},{"day":5,"flight":"AV799","utc":"02:59:00"},{"day":6,"flight":"AV145","utc":"20:41:00"},{"day":6,"flight":"AV546","utc":"07:52:00"}]	"SFO"	0	"route"
							"AY"	"airline_2350"	"LHR"	8615.465625876193	"744"	12865	[{"day":0,"flight":"AY019","utc":"21:46:00"},{"day":0,"flight":"AY678","utc":"08:22:00"},{"day":0,"flight":"AY105","utc":"15:46:00"},{"day":0,"flight":"AY786","utc":"10:49:00"},{"day":0,"flight":"AY620","utc":"12:06:00"},{"day":1,"flight":"AY205","utc":"05:18:00"},{"day":1,"flight":"AY784","utc":"17:36:00"},{"day":1,"flight":"AY308","utc":"16:03:00"},{"day":2,"flight":"AY127","utc":"12:24:00"},{"day":2,"flight":"AY038","utc":"21:24:00"},{"day":2,"flight":"AY664","utc":"02:58:00"},{"day":3,"flight":"AY047","utc":"14:50:00"},{"day":3,"flight":"AY793","utc":"23:10:00"},{"day":3,"flight":"AY580","utc":"07:09:00"},{"day":3,"flight":"AY891","utc":"00:31:00"},{"day":3,"flight":"AY164","utc":"05:38:00"},{"day":4,"flight":"AY506","utc":"16:46:00"},{"day":5,"flight":"AY717","utc":"13:19:00"},{"day":5,"flight":"AY515","utc":"11:25:00"},{"day":5,"flight":"AY101","utc":"17:40:00"},{"day":6,"flight":"AY796","utc":"08:08:00"},{"day":6,"flight":"AY319","utc":"09:37:00"},{"day":6,"flight":"AY798","utc":"15:36:00"},{"day":6,"flight":"AY736","utc":"13:14:00"},{"day":6,"flight":"AY471","utc":"02:38:00"}]	"SFO"	0	"route"
							"AZ"	"airline_596"	"ATL"	3434.7108309317646	"763"	13664	[{"day":0,"flight":"AZ633","utc":"09:05:00"},{"day":0,"flight":"AZ162","utc":"14:43:00"},{"day":0,"flight":"AZ820","utc":"11:05:00"},{"day":0,"flight":"AZ839","utc":"04:48:00"},{"day":0,"flight":"AZ836","utc":"20:30:00"},{"day":1,"flight":"AZ714","utc":"16:36:00"},{"day":1,"flight":"AZ267","utc":"08:35:00"},{"day":1,"flight":"AZ164","utc":"07:05:00"},{"day":2,"flight":"AZ118","utc":"11:45:00"},{"day":2,"flight":"AZ518","utc":"02:57:00"},{"day":2,"flight":"AZ632","utc":"06:00:00"},{"day":2,"flight":"AZ687","utc":"08:51:00"},{"day":2,"flight":"AZ014","utc":"00:15:00"},{"day":3,"flight":"AZ523","utc":"06:36:00"},{"day":3,"flight":"AZ132","utc":"07:16:00"},{"day":3,"flight":"AZ583","utc":"18:12:00"},{"day":4,"flight":"AZ481","utc":"06:02:00"},{"day":4,"flight":"AZ748","utc":"07:29:00"},{"day":4,"flight":"AZ610","utc":"10:19:00"},{"day":4,"flight":"AZ365","utc":"13:46:00"},{"day":5,"flight":"AZ417","utc":"10:50:00"},{"day":6,"flight":"AZ540","utc":"15:26:00"},{"day":6,"flight":"AZ379","utc":"15:24:00"}]	"SFO"	0	"route"
